OBJECTID,CSA2010,novhcl11,novhcl12,novhcl13,novhcl14,novhcl15,novhcl16,novhcl17,novhcl18,novhcl19,Shape__Area,Shape__Length
27,Harford/Echodale,14.3727705112961,12.8943758573388,12.3677544330204,13.4146,12.640744632938,13.1221719457014,11.269699672911,10.6511557637105,11.17157974,65360039.1698608,40019.1854001996
28,Highlandtown,23.0555555555556,22.4286205710354,23.538961038961,19.7294,20.4225352112676,16.3894023413432,14.4441202217683,13.9310747663551,12.92166953,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,21.0125337920865,19.2091774469124,19.6768748492886,15.8207,14.2964635063958,15.1684031984492,15.4334554334554,13.0061349693251,16.38095238,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,15.9927975118677,16.9535145568602,15.5225726654298,14.776,13.4924208314573,14.251710800357,14.5058930190389,16.6486653294244,16.20752984,24995836.2615967,43415.0595478862
31,Lauraville,8.0196749358426,8.57267188859878,10.0766703176342,10.7167,12.3553809211962,13.1313131313131,11.2653975363941,10.3033109516091,11.13364886,49665744.2354736,34419.676527973
32,Loch Raven,16.6666666666667,20.0636435958632,21.8014824363519,22.0684,24.3226695239553,24.8374905517763,23.958489998496,25.5066806785767,25.80645161,44147812.3265381,29314.3346718286
33,Madison/East End,51.6750803120698,54.1758727353071,53.7704918032787,56.6317,55.1873198847262,54.7142857142857,54.0028422548555,53.5679374389051,52.31696015,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,17.8739656269892,18.7356614835585,18.944332998997,21.0639,20.5900737592199,20.3457106274008,18.8172043010752,17.8036175710594,16.23003195,62441489.2398071,43152.625699222
35,Midtown,36.0241106252216,37.5057260650481,35.2093342484557,34.6941,36.1126953347781,38.281078710809,38.4423817070409,38.954922628392,39.50630592,23823949.9294434,25020.0969698082
36,Midway/Coldstream,34.1002206114088,34.5421577515866,38.2436260623229,38.9247,42.4270931326435,39.8578811369509,43.5238417314846,43.4678522571819,45.09736932,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,21.0125841381329,21.8229623137599,23.2073787563225,25.2847,26.6038846380224,25.750300120048,26.5156154317207,26.4902676399026,26.52352384,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,8.10147299509002,7.29080364540182,7.71394134190438,10.1396,8.37849103793247,9.02127659574468,10.1585940848692,9.88773747841105,11.10162254,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,13.898916967509,15.4478092783505,16.7349511503309,16.7916,15.0665170700433,17.3721196273901,18.6855241264559,18.6955779409253,18.96818573,74923987.6937256,42904.2221443544
40,Northwood,15.7913669064748,13.9112903225806,12.6428170069301,13.0402,14.9349424853856,16.0227064640176,16.9825072886297,17.2551149737461,18.35092112,52743271.7706299,38889.8945908862
41,Oldtown/Middle East,70.808301474604,68.2623644538482,69.8451507742461,71.5942,70.9568382735309,68.9912506433351,66.1801088570014,61.7015968063872,60.85803808,24585968.2341919,23866.3281788863
